SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
DEL25_13_D_5	HETEROZYGOTE	FALL	1	0	0	0		0.098	0.884	0.001	0.002	0.016	0	0	0	0
DEL25_13_X_1	HETEROZYGOTE	FALL	1	0	0	0		0.885	0.001	0	0.099	0.016	0	0	0	0
DEL25_13_X_2	HETEROZYGOTE	FALL	1	0	0	0		0	0.905	0.003	0.05	0.042	0	0	0	0
DEL25_13_X_5	EARLY	SPRING	1	0	0	0	Feather River Spring	0.328	0.431	0.002	0.239	0.001	0	0	0	0
DEL25_14_C_7	HETEROZYGOTE	FALL	1	0	0	0		0	0.546	0.22	0.022	0.212	0	0	0	0
DEL25_14_D_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.013	0.749	0.076	0.115	0.048	0	0	0	0
DEL25_14_X_1	HETEROZYGOTE	FALL	1	0	0	0		0.175	0.669	0.154	0	0.001	0	0	0	0
DEL25_5_A_10	LATE	FALL	1	0	0	0		0.003	0.003	0	0.992	0.002	0	0	0	0
DEL25_5_A_11	EARLY	SPRING	1	0	0	0	Feather River Spring	0.002	0.821	0	0	0.177	0	0	0	0
DEL25_5_A_14	HETEROZYGOTE	FALL	1	0	0	0		0	0.794	0.001	0.199	0.006	0	0	0	0
DEL25_5_A_15	LATE	FALL	1	0	0	0		0.442	0.49	0	0.055	0.014	0	0	0	0
DEL25_5_A_17																
DEL25_5_A_18	HETEROZYGOTE	FALL	1	0	0	0		0.579	0.342	0	0.075	0.003	0	0	0	0
DEL25_5_A_2	LATE	FALL	1	0	0	0		0.029	0.946	0.004	0.012	0.009	0	0	0.001	0
DEL25_5_A_20	HETEROZYGOTE	FALL	1	0	0	0		0.774	0.215	0.007	0.004	0	0	0	0	0
DEL25_5_A_3	HETEROZYGOTE	FALL	1	0	0	0		0.046	0.385	0	0.569	0.001	0	0	0	0
DEL25_5_A_4	HETEROZYGOTE	FALL	1	0	0	0		0.122	0.04	0	0.807	0.03	0	0	0.001	0
DEL25_5_A_6	LATE	FALL	1	0	0	0		0.015	0.005	0.004	0.187	0.789	0	0	0	0
DEL25_5_A_7	LATE	FALL	1	0	0	0		0.033	0.114	0.568	0.282	0.003	0	0	0	0
DEL25_5_A_8	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.394	0	0.059	0.546	0	0	0	0
DEL25_5_B_1	LATE	FALL	1	0	0	0		0	0.84	0.046	0.081	0.033	0	0	0	0
DEL25_5_B_2																
DEL25_5_B_4	EARLY	SPRING	0.99	0	0.01	0	Feather River Spring	0	0.475	0.516	0.005	0	0	0.005	0	0
DEL25_5_X_1	HETEROZYGOTE	FALL	1	0	0	0		0.003	0.412	0.582	0	0.003	0	0	0	0
DEL25_5_X_2	HETEROZYGOTE	FALL	1	0	0	0		0	0.806	0.001	0.191	0.002	0	0	0	0
DEL25_5_X_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0.015	0.077	0.905	0.003	0	0	0	0	0
DEL25_5_X_4	HETEROZYGOTE	FALL	1	0	0	0		0	0.893	0.009	0.097	0.001	0	0	0	0
DEL25_5_X_5	LATE	FALL	0.92	0.08	0	0		0.026	0.769	0	0.087	0.041	0	0	0.077	0
DEL25_6_A_1	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_A_10	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.377	0.623	0	0	0	0	0	0
DEL25_6_A_11	EARLY	SPRING	1	0	0	0	Feather River Spring	0.019	0.773	0.057	0.004	0.147	0	0	0	0
DEL25_6_A_12	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.989	0.01	0	0	0	0	0	0
DEL25_6_A_13	EARLY	SPRING	1	0	0	0	Feather River Spring	0.026	0.533	0.432	0.008	0	0	0	0	0
DEL25_6_A_16	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_A_19	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_A_2	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_A_20	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.788	0.184	0.025	0.003	0	0	0	0
DEL25_6_A_3																
